Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,0,-0.019809,0.000159,0.000000,0.019809,9.748237,0.122516,-0.000273,9.749006,0.019477,0.000200,0.000139,0.000367,0.000049,0.001037,0.019510,9.763658,0.118575,-0.000311,9.764378,0.009908,0.000044,10.709927,5650366.000000,0.111939,1.000000
internalMesh,1,-0.018257,0.000159,0.000000,0.018258,9.352406,0.121152,-0.000231,9.353190,0.003750,0.000081,0.000054,-0.000414,0.000035,-0.000092,0.003775,9.362079,0.120245,-0.000295,9.362851,0.001942,0.000042,9.793117,5552251.000000,-0.658499,1.000000
internalMesh,2,-0.016768,0.000159,0.000000,0.016769,8.977247,0.100143,-0.000229,8.977806,0.007568,0.000071,0.000072,-0.000573,0.000031,-0.000067,0.007591,8.986866,0.099432,-0.000294,8.987416,0.003855,0.000039,9.269207,5458151.000000,-1.092817,1.000000
internalMesh,3,-0.015338,0.000159,0.000000,0.015339,8.621761,0.083957,-0.000229,8.622170,0.009614,0.000069,0.000065,-0.000647,0.000023,-0.000050,0.009636,8.633387,0.083492,-0.000306,8.633790,0.004874,0.000037,9.019482,5368906.000000,-1.268480,1.000000
internalMesh,4,-0.013966,0.000159,0.000000,0.013967,8.297151,0.071142,-0.000228,8.297456,0.014940,0.000070,0.000055,-0.000833,0.000018,-0.000059,0.014964,8.309081,0.071035,-0.000321,8.309384,0.007533,0.000035,8.852313,5283469.500000,-1.353730,1.000000
internalMesh,5,-0.012648,0.000159,0.000000,0.012649,8.007121,0.060251,-0.000226,8.007348,0.025162,0.000071,0.000055,-0.001090,0.000017,-0.000047,0.025186,8.017183,0.060360,-0.000337,8.017410,0.012644,0.000033,8.696326,5201326.000000,-1.419294,1.000000
internalMesh,6,-0.011383,0.000159,0.000000,0.011384,7.747880,0.050934,-0.000229,7.748047,0.040296,0.000076,0.000059,-0.001431,0.000018,-0.000037,0.040322,7.755061,0.051250,-0.000353,7.755230,0.020216,0.000031,8.545735,5122144.500000,-1.478475,1.000000
internalMesh,7,-0.010168,0.000159,0.000000,0.010170,7.516517,0.043533,-0.000238,7.516643,0.060081,0.000073,0.000063,-0.001778,0.000018,-0.000038,0.060107,7.519609,0.043853,-0.000374,7.519737,0.030108,0.000029,8.408454,5045699.000000,-1.526386,1.000000
internalMesh,8,-0.009002,0.000159,0.000000,0.009004,7.305711,0.036955,-0.000250,7.305804,0.086571,0.000109,0.000067,-0.002563,0.000019,-0.000039,0.086609,7.304593,0.037755,-0.000405,7.304690,0.043373,0.000027,8.288924,4971769.000000,-1.557954,1.000000
internalMesh,9,-0.007883,0.000159,0.000000,0.007884,7.117439,0.032457,-0.000265,7.117513,0.119900,0.000091,0.000071,-0.002804,0.000018,-0.000047,0.119933,7.109382,0.033309,-0.000449,7.109460,0.060031,0.000026,8.188105,4900096.500000,-1.570910,1.000000
internalMesh,10,-0.006808,0.000159,0.000000,0.006810,6.938966,0.027490,-0.000284,6.939021,0.167645,0.000204,0.000077,-0.005116,0.000021,-0.000042,0.167723,6.924578,0.029393,-0.000510,6.924641,0.083963,0.000024,8.103682,4830401.500000,-1.565635,1.000000
internalMesh,11,-0.005776,0.000159,0.000000,0.005778,6.784578,0.026200,-0.000307,6.784628,0.225282,0.000152,0.000086,-0.004146,0.000017,-0.000054,0.225321,6.757917,0.027343,-0.000591,6.757972,0.112760,0.000023,8.035855,4762355.500000,-1.539839,1.000000
internalMesh,12,-0.004786,0.000159,0.000000,0.004788,6.620931,0.021861,-0.000331,6.620967,0.319289,0.000600,0.000097,-0.012655,0.000009,0.000004,0.319540,6.587678,0.024798,-0.000704,6.587725,0.159993,0.000022,7.978332,4695558.500000,-1.496100,1.000000
internalMesh,13,-0.003835,0.000159,0.000000,0.003838,6.491711,0.025929,-0.000357,6.491763,0.428431,0.000486,0.000113,-0.005083,0.000045,-0.000004,0.428462,6.439644,0.026113,-0.000847,6.439697,0.214515,0.000021,7.928916,4629506.500000,-1.432261,1.000000
internalMesh,14,-0.002922,0.000159,0.000000,0.002926,6.312213,0.020047,-0.000375,6.312245,0.639796,0.003121,0.000136,-0.039617,-0.000074,0.000284,0.641029,6.256719,0.025255,-0.001035,6.256770,0.321526,0.000019,7.868373,4563530.500000,-1.361355,1.000000
internalMesh,15,-0.002045,0.000159,0.000000,0.002051,6.213620,0.032966,-0.000388,6.213707,0.882556,0.002891,0.000171,0.002992,0.000106,0.000159,0.882566,6.123895,0.030974,-0.001232,6.123974,0.442809,0.000018,7.786924,4496582.500000,-1.271835,1.000000
internalMesh,16,-0.001204,0.000159,0.000000,0.001214,5.976851,0.022700,-0.000339,5.976894,1.454637,0.029368,0.000220,-0.170607,-0.000160,0.001034,1.464902,5.892540,0.035575,-0.001431,5.892648,0.742112,0.000017,7.626989,4426878.500000,-1.196547,1.000000
internalMesh,17,-0.000396,0.000159,0.000000,0.000427,5.933512,0.055529,-0.000199,5.933772,2.273881,0.012230,0.000299,0.009356,-0.000045,0.000286,2.273933,5.775399,0.053202,-0.001376,5.775644,1.143205,0.000016,7.227194,4349655.500000,-1.115729,1.000000
internalMesh,18,-0.019809,0.000490,0.000000,0.019815,10.015656,0.048830,-0.000279,10.015776,0.021886,0.000104,0.000138,0.000549,0.000062,0.001125,0.021923,10.027734,0.048701,-0.000308,10.027852,0.011064,0.000001,10.665467,5649877.000000,0.039715,1.000000
internalMesh,19,-0.018257,0.000490,0.000000,0.018264,10.091978,0.068670,-0.000254,10.092212,0.002061,0.000109,0.000057,0.000121,0.000053,0.000009,0.002069,10.099855,0.070305,-0.000293,10.100101,0.001114,0.000002,9.820189,5551808.000000,-0.634544,1.000000
internalMesh,20,-0.016768,0.000490,0.000000,0.016775,10.113466,0.067762,-0.000263,10.113693,0.003647,0.000127,0.000055,0.000086,0.000059,0.000065,0.003652,10.123271,0.068118,-0.000294,10.123500,0.001915,0.000002,9.284710,5457730.000000,-1.076832,1.000000
internalMesh,21,-0.015338,0.000490,0.000000,0.015346,10.088527,0.069272,-0.000264,10.088764,0.004706,0.000157,0.000047,0.000101,0.000053,0.000058,0.004711,10.101867,0.069412,-0.000305,10.102105,0.002455,0.000003,9.018704,5368507.500000,-1.269662,1.000000
internalMesh,22,-0.013966,0.000490,0.000000,0.013974,10.038440,0.071557,-0.000260,10.038694,0.005375,0.000199,0.000041,-0.000016,0.000046,-0.000009,0.005380,10.054774,0.071945,-0.000320,10.055032,0.002808,0.000004,8.847843,5283114.000000,-1.358824,1.000000
internalMesh,23,-0.012648,0.000490,0.000000,0.012657,9.976852,0.072364,-0.000257,9.977115,0.006672,0.000255,0.000044,-0.000335,0.000044,-0.000049,0.006686,9.995208,0.073183,-0.000335,9.995476,0.003485,0.000004,8.691621,5200996.500000,-1.424664,1.000000
internalMesh,24,-0.011383,0.000490,0.000000,0.011393,9.907854,0.072091,-0.000260,9.908116,0.009509,0.000308,0.000049,-0.000813,0.000044,-0.000072,0.009550,9.927848,0.073362,-0.000352,9.928119,0.004933,0.000004,8.539798,5121850.500000,-1.485056,1.000000
internalMesh,25,-0.010168,0.000490,0.000000,0.010180,9.835463,0.071516,-0.000267,9.835723,0.014511,0.000412,0.000054,-0.001596,0.000045,-0.000089,0.014605,9.855103,0.073291,-0.000372,9.855376,0.007489,0.000005,8.401168,5045445.000000,-1.534420,1.000000
internalMesh,26,-0.009002,0.000490,0.000000,0.009016,9.758554,0.070838,-0.000277,9.758811,0.022450,0.000488,0.000058,-0.002514,0.000046,-0.000093,0.022596,9.777378,0.073045,-0.000402,9.777651,0.011498,0.000005,8.280321,4971553.500000,-1.567366,1.000000
internalMesh,27,-0.007883,0.000490,0.000000,0.007898,9.682384,0.070146,-0.000289,9.682638,0.035055,0.000752,0.000062,-0.004305,0.000046,-0.000096,0.035326,9.697913,0.073069,-0.000445,9.698189,0.017935,0.000005,8.178204,4899928.500000,-1.581873,1.000000
internalMesh,28,-0.006808,0.000490,0.000000,0.006826,9.601826,0.069723,-0.000306,9.602078,0.053412,0.000879,0.000069,-0.006037,0.000045,-0.000083,0.053759,9.615607,0.073218,-0.000504,9.615886,0.027180,0.000005,8.091722,4830292.500000,-1.578454,1.000000
internalMesh,29,-0.005776,0.000490,0.000000,0.005797,9.526381,0.069633,-0.000325,9.526636,0.082524,0.001598,0.000077,-0.010536,0.000044,-0.000068,0.083209,9.534336,0.074361,-0.000581,9.534626,0.042100,0.000005,8.021560,4762308.500000,-1.555452,1.000000
internalMesh,30,-0.004786,0.000490,0.000000,0.004811,9.442756,0.071234,-0.000347,9.443025,0.122878,0.001885,0.000089,-0.014108,0.000049,-0.000044,0.123699,9.448688,0.076304,-0.000689,9.448996,0.062425,0.000005,7.959021,4695602.000000,-1.516037,1.000000
internalMesh,31,-0.003835,0.000490,0.000000,0.003866,9.370342,0.073059,-0.000368,9.370627,0.191433,0.004156,0.000105,-0.026730,0.000006,0.000060,0.193335,9.365329,0.080244,-0.000822,9.365672,0.097847,0.000005,7.906535,4629672.000000,-1.458252,1.000000
internalMesh,32,-0.002922,0.000490,0.000000,0.002962,9.280210,0.079189,-0.000383,9.280548,0.280328,0.005023,0.000128,-0.034784,0.000066,0.000116,0.282523,9.272232,0.086188,-0.000996,9.272633,0.142740,0.000005,7.837662,4563898.500000,-1.392688,1.000000
internalMesh,33,-0.002045,0.000490,0.000000,0.002103,9.211471,0.082402,-0.000385,9.211839,0.459320,0.014353,0.000161,-0.077560,-0.000074,0.000306,0.466043,9.182794,0.094122,-0.001179,9.183276,0.236917,0.000005,7.760716,4497320.500000,-1.316846,1.000000
internalMesh,34,-0.001204,0.000490,0.000000,0.001299,9.110672,0.098580,-0.000333,9.111205,0.675025,0.022203,0.000207,-0.118352,-0.000032,0.000639,0.685682,9.077088,0.111304,-0.001333,9.077771,0.348718,0.000005,7.577715,4428356.000000,-1.266784,1.000000
internalMesh,35,-0.000396,0.000490,0.000000,0.000630,9.045671,0.104213,-0.000179,9.046270,1.155508,0.107593,0.000267,-0.324007,-0.000034,0.000614,1.204889,8.976940,0.132839,-0.001248,8.977923,0.631684,0.000005,7.270445,4353130.000000,-1.304451,1.000000
internalMesh,36,-0.019809,0.000844,0.000000,0.019827,9.994580,0.058786,-0.000282,9.994753,0.021676,0.000307,0.000143,0.000798,0.000105,0.001099,0.021722,10.003176,0.058088,-0.000277,10.003345,0.011063,0.000000,10.452555,5649089.000000,-0.191396,1.000000
internalMesh,37,-0.018257,0.000844,0.000000,0.018277,10.048648,0.093274,-0.000249,10.049081,0.001803,0.000304,0.000053,-0.000073,0.000071,0.000015,0.001833,10.055196,0.092956,-0.000294,10.055626,0.001080,0.000000,9.769916,5551077.500000,-0.683343,1.000000
internalMesh,38,-0.016768,0.000844,0.000000,0.016789,10.089808,0.092933,-0.000251,10.090236,0.003234,0.000340,0.000034,-0.000063,0.000062,0.000073,0.003254,10.098554,0.091842,-0.000293,10.098971,0.001804,0.000000,9.275092,5457035.000000,-1.083881,1.000000
internalMesh,39,-0.015338,0.000844,0.000000,0.015362,10.110460,0.091342,-0.000251,10.110873,0.004210,0.000365,0.000031,-0.000083,0.000054,0.000052,0.004227,10.122920,0.090165,-0.000305,10.123322,0.002303,0.000000,9.006308,5367867.000000,-1.281888,1.000000
internalMesh,40,-0.013966,0.000844,0.000000,0.013991,10.120543,0.091877,-0.000248,10.120960,0.004806,0.000431,0.000030,-0.000240,0.000046,-0.000013,0.004832,10.135771,0.090916,-0.000319,10.136179,0.002634,0.000000,8.837174,5282522.000000,-1.370194,1.000000
internalMesh,41,-0.012648,0.000844,0.000000,0.012676,10.127160,0.091909,-0.000245,10.127577,0.005614,0.000524,0.000034,-0.000548,0.000045,-0.000047,0.005666,10.144643,0.091231,-0.000334,10.145053,0.003086,0.000000,8.686343,5200463.500000,-1.430598,1.000000
internalMesh,42,-0.011383,0.000844,0.000000,0.011414,10.131826,0.090381,-0.000247,10.132230,0.007326,0.000679,0.000038,-0.001095,0.000049,-0.000067,0.007439,10.151259,0.090498,-0.000351,10.151663,0.004022,0.000000,8.538193,5121389.500000,-1.487304,1.000000
internalMesh,43,-0.010168,0.000844,0.000000,0.010203,10.133911,0.088799,-0.000254,10.134300,0.010202,0.000848,0.000043,-0.001851,0.000051,-0.000078,0.010404,10.154300,0.089701,-0.000370,10.154696,0.005547,0.000000,8.400990,5045060.500000,-1.535392,1.000000
internalMesh,44,-0.009002,0.000844,0.000000,0.009042,10.132958,0.086609,-0.000265,10.133328,0.014733,0.001190,0.000048,-0.003040,0.000055,-0.000081,0.015090,10.152936,0.088742,-0.000399,10.153324,0.007985,0.000001,8.281189,4971248.500000,-1.567630,1.000000
internalMesh,45,-0.007883,0.000844,0.000000,0.007928,10.128875,0.085631,-0.000279,10.129237,0.021482,0.001505,0.000053,-0.004588,0.000054,-0.000075,0.022019,10.147444,0.088344,-0.000440,10.147828,0.011520,0.000001,8.179395,4899716.500000,-1.582008,1.000000
internalMesh,46,-0.006808,0.000844,0.000000,0.006860,10.122199,0.083691,-0.000295,10.122545,0.031863,0.002335,0.000059,-0.007370,0.000057,-0.000062,0.032788,10.138992,0.087786,-0.000496,10.139373,0.017129,0.000001,8.092729,4830190.500000,-1.579559,1.000000
internalMesh,47,-0.005776,0.000844,0.000000,0.005838,10.112723,0.084547,-0.000316,10.113077,0.047177,0.003049,0.000068,-0.010805,0.000057,-0.000042,0.048494,10.127592,0.088856,-0.000568,10.127982,0.025147,0.000001,8.018815,4762344.000000,-1.560330,1.000000
internalMesh,48,-0.004786,0.000844,0.000000,0.004859,10.101678,0.083965,-0.000336,10.102027,0.070870,0.005298,0.000079,-0.017975,0.000039,0.000001,0.073306,10.114202,0.090506,-0.000664,10.114607,0.038123,0.000001,7.953211,4695813.500000,-1.525967,1.000000
internalMesh,49,-0.003835,0.000844,0.000000,0.003926,10.087728,0.088668,-0.000355,10.088118,0.105749,0.007131,0.000095,-0.025929,0.000067,0.000043,0.109114,10.096934,0.095471,-0.000784,10.097385,0.056487,0.000001,7.890320,4630150.500000,-1.477906,1.000000
internalMesh,50,-0.002922,0.000844,0.000000,0.003041,10.073827,0.091056,-0.000365,10.074239,0.161566,0.014907,0.000117,-0.047409,-0.000012,0.000156,0.169037,10.077991,0.102227,-0.000929,10.078509,0.088295,0.000001,7.819577,4564791.000000,-1.423011,1.000000
internalMesh,51,-0.002045,0.000844,0.000000,0.002212,10.056865,0.101033,-0.000358,10.057372,0.243322,0.022489,0.000147,-0.071760,0.000017,0.000252,0.254678,10.053318,0.114193,-0.001072,10.053967,0.132979,0.000001,7.718476,4498958.000000,-1.372695,1.000000
internalMesh,52,-0.001341,0.000783,0.000000,0.001553,10.044927,0.110390,-0.000308,10.045533,0.370601,0.061618,0.000187,-0.145617,-0.000033,0.000425,0.402922,10.031009,0.131986,-0.001169,10.031878,0.216203,0.000001,7.551123,4431477.000000,-1.352928,1.000000
internalMesh,53,-0.000264,0.000783,0.000000,0.000826,10.029802,0.120532,-0.000186,10.030526,0.537088,0.149468,0.000235,-0.268876,-0.000108,0.000591,0.618950,10.002271,0.155682,-0.001111,10.003482,0.343396,0.000001,7.258852,4360700.000000,-1.415556,1.000000
internalMesh,54,-0.019809,0.001223,0.000000,0.019846,9.993221,0.042859,-0.000285,9.993313,0.021605,0.000533,0.000144,0.001092,0.000155,0.001088,0.021668,10.001626,0.040449,-0.000270,10.001708,0.011141,0.000000,10.302622,5648189.000000,-0.345836,1.000000
internalMesh,55,-0.018257,0.001223,0.000000,0.018298,10.033901,0.073394,-0.000263,10.034169,0.001585,0.000512,0.000061,-0.000023,0.000076,0.000000,0.001668,10.039374,0.072358,-0.000288,10.039635,0.001079,0.000000,9.746999,5550197.500000,-0.708262,1.000000
internalMesh,56,-0.016768,0.001223,0.000000,0.016813,10.068056,0.073619,-0.000266,10.068325,0.002875,0.000504,0.000042,0.000084,0.000060,0.000091,0.002922,10.075565,0.072538,-0.000292,10.075827,0.001711,0.000000,9.295615,5456205.000000,-1.063092,1.000000
internalMesh,57,-0.015338,0.001223,0.000000,0.015387,10.086926,0.070935,-0.000267,10.087176,0.003760,0.000549,0.000034,-0.000026,0.000062,0.000063,0.003801,10.098530,0.069850,-0.000304,10.098771,0.002172,0.000000,9.018455,5367097.500000,-1.270332,1.000000
internalMesh,58,-0.013966,0.001223,0.000000,0.014019,10.096805,0.071689,-0.000265,10.097059,0.004299,0.000654,0.000034,-0.000286,0.000053,-0.000013,0.004358,10.111326,0.070652,-0.000317,10.111573,0.002493,0.000000,8.841236,5281834.500000,-1.367426,1.000000
internalMesh,59,-0.012648,0.001223,0.000000,0.012707,10.104209,0.072908,-0.000265,10.104472,0.005091,0.000810,0.000036,-0.000698,0.000053,-0.000050,0.005202,10.120724,0.072223,-0.000332,10.120981,0.002968,0.000000,8.691386,5199860.500000,-1.427028,1.000000
internalMesh,60,-0.011383,0.001223,0.000000,0.011448,10.111389,0.072977,-0.000268,10.111652,0.006724,0.001025,0.000039,-0.001342,0.000057,-0.000071,0.006933,10.129427,0.073167,-0.000348,10.129691,0.003894,0.000000,8.545539,5120880.000000,-1.481373,1.000000
internalMesh,61,-0.010168,0.001223,0.000000,0.010242,10.118023,0.072299,-0.000273,10.118281,0.009463,0.001351,0.000043,-0.002316,0.000062,-0.000084,0.009836,10.136675,0.073747,-0.000367,10.136943,0.005428,0.000000,8.408674,5044658.000000,-1.529278,1.000000
internalMesh,62,-0.009002,0.001223,0.000000,0.009085,10.123441,0.071679,-0.000282,10.123694,0.013596,0.001767,0.000046,-0.003648,0.000064,-0.000087,0.014188,10.141668,0.074360,-0.000395,10.141941,0.007705,0.000000,8.287192,4970969.000000,-1.563351,1.000000
internalMesh,63,-0.007883,0.001223,0.000000,0.007977,10.127395,0.071416,-0.000293,10.127646,0.019745,0.002479,0.000050,-0.005684,0.000066,-0.000083,0.020696,10.144348,0.075203,-0.000434,10.144627,0.011137,0.000000,8.182966,4899570.000000,-1.580679,1.000000
internalMesh,64,-0.006808,0.001223,0.000000,0.006917,10.130163,0.071931,-0.000308,10.130419,0.028677,0.003444,0.000055,-0.008579,0.000066,-0.000074,0.030130,10.145494,0.076573,-0.000487,10.145782,0.016088,0.000000,8.092569,4830206.500000,-1.582152,1.000000
internalMesh,65,-0.005776,0.001223,0.000000,0.005904,10.131763,0.073098,-0.000324,10.132027,0.041915,0.005166,0.000062,-0.013242,0.000064,-0.000054,0.044259,10.145227,0.078809,-0.000554,10.145534,0.023571,0.000000,8.014111,4762572.500000,-1.568485,1.000000
internalMesh,66,-0.004786,0.001223,0.000000,0.004939,10.132823,0.075868,-0.000342,10.133107,0.061086,0.007739,0.000072,-0.020211,0.000062,-0.000026,0.064807,10.144012,0.082797,-0.000638,10.144350,0.034449,0.000000,7.941063,4696319.000000,-1.541991,1.000000
internalMesh,67,-0.003835,0.001223,0.000000,0.004025,10.133249,0.079678,-0.000356,10.133562,0.089517,0.012641,0.000087,-0.031922,0.000046,0.000024,0.095876,10.141347,0.088917,-0.000740,10.141737,0.051122,0.000000,7.870422,4631072.000000,-1.505468,1.000000
internalMesh,68,-0.002922,0.001223,0.000000,0.003167,10.134660,0.086291,-0.000361,10.135027,0.130636,0.021338,0.000107,-0.050848,0.000042,0.000092,0.141798,10.138174,0.098742,-0.000854,10.138655,0.076041,0.000000,7.786631,4566351.000000,-1.466891,1.000000
internalMesh,69,-0.002045,0.001223,0.000000,0.002383,10.137244,0.094444,-0.000346,10.137684,0.189532,0.039397,0.000134,-0.083914,0.000014,0.000177,0.210989,10.134450,0.111886,-0.000962,10.135068,0.114532,0.000000,7.675186,4501609.500000,-1.440481,1.000000
internalMesh,70,-0.001204,0.001271,0.000000,0.001750,10.143958,0.104823,-0.000300,10.144500,0.268929,0.081969,0.000168,-0.143953,-0.000015,0.000302,0.315855,10.132587,0.130559,-0.001026,10.133429,0.175533,0.000000,7.507726,4436203.000000,-1.445069,1.000000
internalMesh,71,-0.000396,0.001271,0.000000,0.001331,10.154273,0.113121,-0.000208,10.154903,0.355786,0.168374,0.000206,-0.234411,-0.000007,0.000449,0.458129,10.133901,0.150628,-0.000990,10.135020,0.262183,0.000000,7.259714,4370042.500000,-1.510141,1.000000
internalMesh,72,-0.019809,0.001630,0.000000,0.019876,9.992360,0.034595,-0.000280,9.992420,0.021519,0.000789,0.000138,0.001427,0.000205,0.001051,0.021607,10.000612,0.031322,-0.000270,10.000661,0.011223,0.000000,10.163939,5647281.000000,-0.489620,1.000000
internalMesh,73,-0.018257,0.001630,0.000000,0.018330,10.024997,0.067010,-0.000255,10.025221,0.001387,0.000818,0.000074,-0.000011,0.000080,-0.000015,0.001614,10.029535,0.065005,-0.000283,10.029746,0.001140,0.000000,9.698643,5549272.500000,-0.758973,1.000000
internalMesh,74,-0.016950,0.001630,0.000000,0.017029,10.054811,0.073505,-0.000259,10.055079,0.002518,0.000814,0.000052,0.000179,0.000078,0.000099,0.002656,10.061149,0.071817,-0.000290,10.061405,0.001692,0.000000,9.291965,5455312.000000,-1.066202,1.000000
internalMesh,75,-0.015105,0.001560,0.000000,0.015185,10.073115,0.073391,-0.000261,10.073382,0.003316,0.000920,0.000033,-0.000006,0.000082,0.000060,0.003443,10.083700,0.071759,-0.000302,10.083956,0.002134,0.000000,9.015203,5366281.000000,-1.273518,1.000000
internalMesh,76,-0.013966,0.001630,0.000000,0.014061,10.083002,0.074748,-0.000258,10.083280,0.003813,0.001071,0.000033,-0.000417,0.000068,-0.000019,0.003983,10.096592,0.073023,-0.000315,10.096856,0.002458,0.000000,8.831615,5281113.500000,-1.378071,1.000000
internalMesh,77,-0.012648,0.001577,0.000000,0.012746,10.089762,0.076726,-0.000256,10.090054,0.004555,0.001272,0.000034,-0.000946,0.000062,-0.000054,0.004824,10.105142,0.075239,-0.000331,10.105422,0.002931,0.000000,8.682922,5199248.000000,-1.436874,1.000000
internalMesh,78,-0.011383,0.001577,0.000000,0.011492,10.096026,0.077525,-0.000259,10.096324,0.006131,0.001567,0.000036,-0.001752,0.000064,-0.000071,0.006567,10.112600,0.077073,-0.000347,10.112894,0.003867,0.000000,8.541111,5120389.500000,-1.487326,1.000000
internalMesh,79,-0.010168,0.001630,0.000000,0.010298,10.101954,0.077471,-0.000266,10.102250,0.008781,0.001995,0.000039,-0.002902,0.000067,-0.000082,0.009461,10.118943,0.078521,-0.000364,10.119247,0.005407,0.000000,8.406124,5044301.000000,-1.533244,1.000000
internalMesh,80,-0.009002,0.001630,0.000000,0.009149,10.106882,0.077032,-0.000275,10.107176,0.012791,0.002675,0.000042,-0.004551,0.000070,-0.000085,0.013839,10.123414,0.079740,-0.000390,10.123728,0.007754,0.000000,8.284431,4970782.000000,-1.567879,1.000000
internalMesh,81,-0.007883,0.001630,0.000000,0.008049,10.110650,0.077079,-0.000287,10.110944,0.018665,0.003662,0.000045,-0.006922,0.000071,-0.000080,0.020242,10.126085,0.081044,-0.000427,10.126410,0.011186,0.000000,8.178269,4899567.000000,-1.587664,1.000000
internalMesh,82,-0.006808,0.001630,0.000000,0.007000,10.113327,0.077461,-0.000301,10.113624,0.027194,0.005269,0.000050,-0.010529,0.000070,-0.000070,0.029633,10.127241,0.082596,-0.000476,10.127578,0.016256,0.000000,8.085356,4830431.000000,-1.592878,1.000000
internalMesh,83,-0.005776,0.001630,0.000000,0.006002,10.115278,0.078894,-0.000318,10.115586,0.039477,0.007690,0.000057,-0.015881,0.000069,-0.000054,0.043241,10.127371,0.085002,-0.000536,10.127728,0.023612,0.000000,8.002266,4763078.500000,-1.584384,1.000000
internalMesh,84,-0.004834,0.001630,0.000000,0.005101,10.116787,0.081181,-0.000334,10.117113,0.057077,0.011852,0.000067,-0.024329,0.000061,-0.000028,0.063168,10.126474,0.088976,-0.000608,10.126865,0.034498,0.000000,7.924045,4697218.000000,-1.565644,1.000000
internalMesh,85,-0.003679,0.001560,0.000000,0.003996,10.118517,0.085007,-0.000346,10.118874,0.081988,0.018740,0.000081,-0.037297,0.000059,0.000011,0.092002,10.125001,0.095348,-0.000694,10.125450,0.050405,0.000000,7.844413,4632518.500000,-1.540800,1.000000
internalMesh,86,-0.002922,0.001630,0.000000,0.003345,10.120993,0.090571,-0.000347,10.121398,0.116957,0.031323,0.000100,-0.058321,0.000043,0.000069,0.134392,10.122990,0.104871,-0.000785,10.123533,0.074189,0.000000,7.752551,4568647.000000,-1.517586,1.000000
internalMesh,87,-0.002045,0.001630,0.000000,0.002615,10.125576,0.097118,-0.000331,10.126041,0.162807,0.055569,0.000123,-0.092041,0.000023,0.000144,0.195104,10.121980,0.117610,-0.000866,10.122663,0.109249,0.000000,7.635207,4505274.500000,-1.508397,1.000000
internalMesh,88,-0.001204,0.001630,0.000000,0.002026,10.132627,0.104456,-0.000292,10.133165,0.219742,0.101721,0.000150,-0.144344,0.000031,0.000247,0.281902,10.122162,0.133324,-0.000907,10.123040,0.160806,0.000000,7.476415,4442234.000000,-1.527988,1.000000
internalMesh,89,-0.000396,0.001630,0.000000,0.001677,10.143340,0.108304,-0.000228,10.143918,0.273637,0.197863,0.000180,-0.220203,0.000014,0.000380,0.403133,10.126728,0.150344,-0.000884,10.127844,0.235840,0.000000,7.267764,4380222.000000,-1.593680,1.000000
internalMesh,90,-0.019809,0.002066,0.000000,0.019916,9.991773,0.028391,-0.000285,9.991813,0.021429,0.001079,0.000129,0.001685,0.000243,0.001035,0.021549,9.999903,0.024241,-0.000263,9.999932,0.011319,0.000000,10.037980,5646391.500000,-0.620128,1.000000
internalMesh,91,-0.018257,0.002066,0.000000,0.018374,10.018142,0.059427,-0.000270,10.018318,0.001250,0.001189,0.000093,-0.000019,0.000097,-0.000041,0.001731,10.021936,0.056293,-0.000277,10.022095,0.001266,0.000000,9.640840,5548281.500000,-0.819354,1.000000
internalMesh,92,-0.017133,0.002066,0.000000,0.017257,10.043352,0.068626,-0.000271,10.043587,0.002254,0.001226,0.000051,0.000284,0.000105,0.000100,0.002586,10.048763,0.066194,-0.000287,10.048982,0.001765,0.000000,9.282480,5454354.000000,-1.075951,1.000000
internalMesh,93,-0.014190,0.001990,0.000000,0.014329,10.070716,0.069595,-0.000271,10.070956,0.003391,0.001597,0.000022,-0.000515,0.000074,-0.000015,0.003784,10.083364,0.067344,-0.000313,10.083590,0.002505,0.000000,8.828208,5280370.000000,-1.382610,1.000000
internalMesh,94,-0.011176,0.002141,0.000000,0.011379,10.083379,0.071782,-0.000276,10.083634,0.005559,0.002299,0.000029,-0.002114,0.000068,-0.000068,0.006378,10.098627,0.071139,-0.000343,10.098878,0.003944,0.000000,8.540357,5119939.000000,-1.490357,1.000000
internalMesh,95,-0.010367,0.001990,0.000000,0.010556,10.089037,0.071857,-0.000281,10.089293,0.008058,0.002925,0.000033,-0.003471,0.000071,-0.000079,0.009249,10.104531,0.073121,-0.000360,10.104795,0.005508,0.000000,8.407526,5044027.500000,-1.534477,1.000000
internalMesh,96,-0.008812,0.001990,0.000000,0.009034,10.093884,0.071640,-0.000289,10.094138,0.011828,0.003878,0.000037,-0.005386,0.000075,-0.000082,0.013564,10.108939,0.074838,-0.000384,10.109216,0.007872,0.000000,8.285506,4970702.000000,-1.569888,1.000000
internalMesh,97,-0.007883,0.002066,0.000000,0.008149,10.097702,0.071715,-0.000299,10.097957,0.017305,0.005340,0.000041,-0.008159,0.000077,-0.000080,0.019864,10.111806,0.076464,-0.000418,10.112095,0.011343,0.000000,8.177271,4899731.000000,-1.592503,1.000000
